id,callsign,flightNumber,originIcao,destinationIcao,alternateIcao,atcRoute,aircraftTitle,aircraftDirectory,aircraftRegistration,aircraftIcao,aircraftCategory,distance_travelled_km,state,offBlocksTime,onBlocksTime,realBlockTime,effectiveBlockTime,realFlightTime,effectiveFlightTime,fuelBurn,plannedBlockTime,plannedFlightTime,plannedPax,plannedCargo,plannedAltitude,createdAt,dateTimeParseDate,dateTimeParseTime,dateDayOfWeek,dateTimeParseFull,countryOrigin,muniOrigin,countryDestination,muniDestination,DOWactivity,originIata,destinationIata
bf2bd362-75d4-4695-99f9-b23a13e4744c,CPA378,CXCPA378,RKPK,VHHH,ZGGG,BETTA2 TOPAX DCT GOSBO DCT MAKET DCT ATINA DCT CJU DCT PANSI DCT ZS109 DCT ABBEY ABEY3A,Airbus A321neo CathayPacific - LEAP,A321neoLEAP,B-HPI,A21N,Medium,2171.63772,Completed,2023-03-29T21:51:56.607,2023-03-30T00:52:10.605,10813.998,10813.998,10267.999,10267.999,6648.08629,12600,11936,201,7476,37000,2023-03-29T21:49:45.904811,30/03/2023,08:49:45,Thu,30/03/2023 08:49:45,KR,Busan,HK,Islands,W,PUS,HKG
ce4a8fa0-23cf-4799-abb3-a2c3659563c2,QFA1284,QF1284,YPPH,YPKA,YPPH,AVNEX3 AVNEX Y15 VETEL Z55 KA DCT,PMDG 737-800 Qantas (VH-VXM | 2021 | Mount Hotham),PMDG 737-800,VH-VXM,B738,Medium,1343.64506,Completed,2022-08-25T02:54:53.496,2022-08-25T04:53:17.495,7103.999,7103.999,6350.999,6350.999,5032.80511,8400,6519,160,5275,35000,2022-08-25T02:52:13.603452,25/08/2022,13:52:13,Thu,25/08/2022 13:52:13,AU,Perth,AU,Karratha,M,PER,KTA
d5eca760-19bf-408b-b8bc-41110c57917c,HOOK41,HOOK41,LCLK,LDDU,LYBE,BONE1B BONEK M601 EVENO UM601 EXELA UN127 LMO UN128 FSK UL608 DISOR DCT MAVAR DCT RETRA DCT MOKUN MOKU2Z,PMDG 737-700BBJ USAF (50730),PMDG 737-700BBJ,05-0730,B737,Medium,1441.16263,Completed,2022-05-12T05:35:30.689,2022-05-12T06:52:34.689,4624,4624,4484.001,4484.001,3680.98968,10500,8738,30,5748,37000,2022-05-12T05:35:29.035916,12/05/2022,16:35:29,Thu,12/05/2022 16:35:29,CY,Larnaca,HR,Dubrovnik,U,LCA,DBV
dec51b75-7dba-40eb-ae02-984d4c5ade52,CCA177,CA177,ZBAD,VHHH,VMMC,OMD12D OMDEK W37 HOK A461 LIG R473 BEMAG V5 CON W6 SAREX W7 ZUH R473 SIERA SIER6D,Boeing 777-300ER CHINA SMILING,CS_B777-300ER_GE115B,B-2035,B773,Heavy,2016.37684,Completed,2022-07-05T05:18:13.095,2022-07-05T07:01:34.094,6200.999,6200.999,5582.999,5582.999,17935.3318,10800,9931,0,70000,35000,2022-07-05T05:14:25.135811,05/07/2022,16:14:25,Tue,05/07/2022 16:14:25,CN,Beijing,HK,Islands,H,PKX,HKG
1b3d6fc9-d752-4372-9bfa-7048fc35af99,N310AG,None,VTBS,VQPR,VGHS,TARE3J TARED G463 DAC W3 SDP R598 BOGOP BOGO1B,PMDG 737-800BBJ2 BBJ N310AG,PMDG 737-800BBJ2,N310AG,B738,Medium,2216.98783,Completed,2022-10-19T01:38:44.546,2022-10-19T04:37:01.546,10697,10697,10022.999,10022.999,6718.3046,11700,10043,35,873,38000,2022-10-19T01:34:08.532272,19/10/2022,12:34:08,Wed,19/10/2022 12:34:08,TH,Bangkok,BT,Paro,H,BKK,PBH
b35bd5fd-92b5-40a0-83fc-ba220fdccda7,HVN214,VN214,VVTS,VVNB,VVCI,ANTR2F PATMA Q2 BIVIM N639 NAH NAH1A,Airbus A330-900neo Vietnam Airlines,Headwind_A330neo,VN-A339,A339,Heavy,1343.16549,Completed,2022-08-21T10:36:22.253,2022-08-21T12:31:27.253,6905,6905,6422.999,6422.999,10507.5621,8100,6220,216,20320,35000,2022-08-21T10:29:43.212117,21/08/2022,21:29:43,Sun,21/08/2022 21:29:43,VN,Ho Chi Minh City,VN,Hanoi (Soc Son),F,SGN,HAN
b61221ed-9cba-41c3-abbb-42935643d450,AZU281,AD281,SBSV,SBGR,SBGL,DCT DIKIT DCT NITBO UZ21 MOXEP MOXE1A,Airbus A321Neo LEAP Azul PR-YJF,A321neoLEAP,PR-YJF,A21N,Medium,1540.20379,Completed,2022-09-15T09:39:54.309,2022-09-15T11:55:43.309,8149,8149,7498.001,7498.001,4690.8597,9300,7315,0,15500,35000,2022-09-15T09:34:50.619464,15/09/2022,20:34:50,Thu,15/09/2022 20:34:50,BR,Salvador,BR,São Paulo,M,SSA,GRU
250f9505-d5d1-484b-9a6d-a4904a2aedac,CQH2719,9C2719,ZSPD,ZUCK,ZUUU,PIK95D PIKAS G330 UNTAN G345 OLRIS R343 WHA B213 SAKPU SAK1J,Airbus A321neo Spring Airlines - LEAP,A321neoLEAP,B-30EU,A21N,Medium,1728.98116,Completed,2022-10-12T08:30:47.821,2022-10-12T11:00:36.807,8988.986,8988.986,8486.002,8486.002,5089.41143,10200,8261,173,5325,34000,2022-10-12T08:21:04.650103,12/10/2022,19:21:04,Wed,12/10/2022 19:21:04,CN,Shanghai (Pudong),CN,Chongqing,U,PVG,CKG
4fc94b0f-1411-4040-9700-c4b088456871,UAE782,EK782,VNKT,OMDB,OMAA,DARK1D NARAN B345 LKN R594 DPN G333 MERUN R471 RK G214 PG G665 ASVIB N312 MOBET M324 PATAT L519 PUVAL PUVA2E,Airbus A330-900neo Emirates,Headwind_A330neo,A6-NEO,A339,Heavy,3276.29541,Completed,2022-08-30T01:31:33.012,2022-08-30T04:03:03.011,9089.999,9089.999,8550,8550,18458.1365,16800,14042,180,18600,36000,2022-08-30T01:28:02.434233,30/08/2022,12:28:02,Tue,30/08/2022 12:28:02,NP,Kathmandu,AE,Dubai,U,KTM,DXB
0e91fb76-1cb1-4ec5-a199-8adb896a1ddf,9HELF,9HELF,EIDW,BIKF,BIAR,SURO1B SUROX DCT ERNAN DCT GOMUP DCT BREKI DCT BASLU BASL3M,PMDG 737-700BBJ AirX Charter (9H-ELF | 1999),PMDG 737-700BBJ,9H-ELF,B737,Medium,1546.48105,Completed,2022-05-14T05:44:49.805,2022-05-14T08:30:43.722,205.697994,205.697994,205.697994,205.697994,4872.59694,9900,7942,30,5848,38000,2022-05-14T05:43:54.183971,14/05/2022,16:43:54,Sat,14/05/2022 16:43:54,IE,Dublin,IS,Reykjavík,W,DUB,KEF
